Index,Red,Green,Blue
132 0.68494 0.97941 0.21602
133 0.69525 0.9761 0.21294
134 0.70553 0.97255 0.21032
135 0.71577 0.96875 0.20815
136 0.72596 0.9647 0.2064
137 0.7361 0.96043 0.20504
138 0.74617 0.95593 0.20406
139 0.75617 0.95121 0.20343
140 0.76608 0.94627 0.20311
141 0.77591 0.94113 0.2031
142 0.78563 0.93579 0.20336
143 0.79524 0.93025 0.20386
144 0.80473 0.92452 0.20459
145 0.8141 0.91861 0.20552
146 0.82333 0.91253 0.20663
147 0.83241 0.90627 0.20788
148 0.84133 0.89986 0.20926
149 0.8501 0.89328 0.21074
150 0.85868 0.88655 0.2123
151 0.86709 0.87968 0.21391
152 0.8753 0.87267 0.21555
153 0.88331 0.86553 0.21719
154 0.89112 0.85826 0.2188
155 0.8987 0.85087 0.22038
156 0.90605 0.84337 0.22188
157 0.91317 0.83576 0.22328
158 0.92004 0.82806 0.22456
159 0.92666 0.82025 0.2257
160 0.93301 0.81236 0.22667
161 0.93909 0.80439 0.22744
162 0.94489 0.79634 0.228
163 0.95039 0.78823 0.22831
164 0.9556 0.78005 0.22836
165 0.96049 0.77181 0.22811
166 0.96507 0.76352 0.22754
167 0.96931 0.75519 0.22663
168 0.97323 0.74682 0.22536
169 0.97679 0.73842 0.22369
170 0.98 0.73 0.22161
171 0.98289 0.7214 0.21918
172 0.98549 0.7125 0.2165
173 0.98781 0.7033 0.21358
174 0.98986 0.69382 0.21043
175 0.99163 0.68408 0.20706
176 0.99314 0.67408 0.20348
177 0.99438 0.66386 0.19971
178 0.99535 0.65341 0.19577
179 0.99607 0.64277 0.19165
180 0.99654 0.63193 0.18738
181 0.99675 0.62093 0.18297
182 0.99672 0.60977 0.17842
183 0.99644 0.59846 0.17376
184 0.99593 0.58703 0.16899
185 0.99517 0.57549 0.16412
186 0.99419 0.56386 0.15918
187 0.99297 0.55214 0.15417
188 0.99153 0.54036 0.1491
189 0.98987 0.52854 0.14398
190 0.98799 0.51667 0.13883
191 0.9859 0.50479 0.13367
192 0.9836 0.49291 0.12849
193 0.98108 0.48104 0.12332
194 0.97837 0.4692 0.11817
195 0.97545 0.4574 0.11305
196 0.97234 0.44565 0.10797
197 0.96904 0.43399 0.10294
198 0.96555 0.42241 0.09798
199 0.96187 0.41093 0.0931
200 0.95801 0.39958 0.08831
201 0.95398 0.38836 0.08362
202 0.94977 0.37729 0.07905
203 0.94538 0.36638 0.07461
204 0.94084 0.35566 0.07031
205 0.93612 0.34513 0.06616
206 0.93125 0.33482 0.06218
207 0.92623 0.32473 0.05837
208 0.92105 0.31489 0.05475
209 0.91572 0.3053 0.05134
210 0.91024 0.29599 0.04814
211 0.90463 0.28696 0.04516
212 0.89888 0.27824 0.04243
213 0.89298 0.26981 0.03993
214 0.88691 0.26152 0.03753
215 0.88066 0.25334 0.03521
216 0.87422 0.24526 0.03297
217 0.8676 0.2373 0.03082
218 0.86079 0.22945 0.02875
219 0.8538 0.2217 0.02677
220 0.84662 0.21407 0.02487
221 0.83926 0.20654 0.02305
222 0.83172 0.19912 0.02131
223 0.82399 0.19182 0.01966
224 0.81608 0.18462 0.01809
225 0.80799 0.17753 0.0166
226 0.79971 0.17055 0.0152
227 0.79125 0.16368 0.01387
228 0.7826 0.15693 0.01264
229 0.77377 0.15028 0.01148
230 0.76476 0.14374 0.01041
231 0.75556 0.13731 0.00942
232 0.74617 0.13098 0.00851
